"credit_score","Y"
594,0
627,0
799,0
657,0
663,0
799,0
696,0
523,1
581,0
605,0
772,0
686,0
690,0
661,0
594,1
799,0
700,0
453,1
720,0
603,0
543,0
628,0
547,0
577,0
587,0
481,1
734,0
665,0
536,1
775,0
693,0
620,0
740,0
738,0
732,0
719,0
705,0
644,0
619,1
612,0
581,0
629,0
523,1
799,0
771,0
538,0
610,0
603,0
728,0
642,0
675,0
647,0
646,0
787,0
627,0
799,0
495,1
708,0
662,0
672,0
688,0
600,0
617,0
548,0
543,1
680,0
695,0
655,0
742,0
799,0
601,0
419,1
751,0
579,0
581,0
753,0
622,0
528,1
668,0
636,0
651,0
689,0
613,0
714,0
628,0
683,0
760,0
694,0
617,0
765,0
749,0
705,0
674,0
587,0
786,0
590,0
799,0
799,0
626,0
547,1
579,0
676,0
625,0
615,1
555,0
645,0
572,0
483,1
612,0
742,0
592,0
711,0
488,1
644,0
702,0
680,0
661,0
586,0
565,1
548,0
662,0
555,0
601,0
624,0
799,0
585,0
674,0
658,0
554,1
643,0
794,0
695,0
654,0
608,0
445,1
763,0
504,1
724,0
799,0
506,1
720,0
624,0
493,1
499,1
490,1
597,0
504,1
719,0
799,0
521,1
729,0
727,0
683,0
549,1
638,0
622,0
706,0
613,0
748,0
613,0
755,0
545,1
524,1
799,0
608,0
680,0
714,0
602,1
702,0
687,0
628,0
657,0
647,0
799,0
576,1
540,1
654,0
681,0
694,0
604,0
544,0
776,0
615,0
563,0
626,0
630,0
761,0
658,0
725,0
600,0
671,0
618,0
659,0
560,1
519,1
799,0
710,0
525,1
589,0
531,1
799,0
781,0
623,0
704,0
609,0
602,0
571,0
591,0
799,0
645,0
662,0
674,0
773,0
598,0
551,1
799,0
606,0
578,0
526,1
522,1
593,0
712,0
761,0
721,0
614,1
656,0
580,0
578,0
738,0
548,1
799,0
641,0
671,0
576,0
593,0
518,1
632,0
692,0
682,0
572,1
571,0
600,0
799,0
536,0
632,0
799,0
640,0
514,1
584,0
699,0
612,1
594,1
616,0
659,0
799,0
641,0
758,0
713,0
639,0
497,0
598,0
601,0
655,0
780,0
799,0
799,0
637,0
474,1
611,0
659,0
735,0
746,0
718,0
510,1
735,0
605,1
667,0
657,0
693,0
652,0
483,1
724,0
689,0
623,0
662,0
663,0
672,0
799,0
628,0
667,0
767,0
755,0
765,0
592,0
799,0
657,0
799,0
515,1
652,0
775,0
578,0
575,1
556,1
545,1
606,0
683,0
449,1
671,0
774,0
799,0
780,0
726,0
477,1
590,0
615,0
720,0
639,0
524,1
799,0
741,0
674,0
772,0
516,1
716,0
598,0
718,0
644,0
713,0
784,0
651,0
752,0
531,1
578,0
799,0
688,0
445,1
514,1
630,0
737,0
640,0
712,0
746,0
799,0
656,0
645,0
475,1
660,0
593,0
553,1
632,0
751,0
451,1
607,0
662,0
561,0
683,0
691,0
647,0
403,1
799,0
629,0
715,0
677,0
752,0
732,0
629,0
688,0
555,0
736,0
604,0
799,0
485,1
604,0
733,0
701,0
591,0
550,0
664,0
649,0
471,1
653,0
669,0
667,0
544,1
698,0
788,0
696,0
536,0
606,0
685,0
585,0
434,1
738,0
567,0
593,1
799,0
573,0
735,0
524,1
615,0
643,0
533,1
587,0
647,0
717,0
485,1
615,0
726,0
596,0
673,0
699,0
677,0
715,0
638,0
609,0
386,1
641,0
693,0
704,0
594,0
799,0
679,0
663,0
777,0
578,0
605,0
799,0
651,0
799,0
506,1
631,0
688,0
680,0
549,0
652,0
542,1
721,0
758,0
428,1
774,0
526,1
695,0
716,0
630,0
585,0
667,0
694,0
738,0
445,1
486,1
793,0
755,0
694,0
722,0
742,0
384,1
761,0
602,0
673,0
620,0
737,0
615,0
702,0
611,0
541,1
771,0
724,0
799,0
657,0
763,0
799,0
622,0
518,1
626,0
629,0
665,0
799,0
617,0
687,0
627,0
652,0
681,0
783,0
662,0
721,0
728,0
741,0
593,0
799,0
612,0
639,0
790,0
779,0
541,0
563,1
514,1
668,0
666,0
686,0
705,0
590,1
551,0
753,0
725,0
499,1
640,0
560,1
443,1
665,0
642,0
640,0
672,0
738,0
671,0
588,0
577,0
637,0
681,0
546,1
632,0
747,0
639,0
580,1
622,0
761,0
705,0
774,0
664,0
691,0
594,1
711,0
599,0
508,1
663,0
799,0
730,0
767,0
686,0
589,1
630,0
623,0
603,0
720,0
530,1
737,0
736,0
530,1
714,0
799,0
594,0
734,0
572,0
761,0
675,0
799,0
504,1
645,0
597,0
630,0
587,0
567,0
708,0
541,1
798,0
531,1
660,0
703,0
709,0
620,0
658,0
746,0
504,1
572,0
682,0
606,0
787,0
717,0
657,0
499,1
653,0
618,0
640,0
532,0
700,0
546,1
627,0
688,0
572,1
708,0
518,1
369,1
696,0
734,0
621,0
700,0
534,0
637,0
456,1
768,0
799,0
757,0
647,0
647,0
498,1
729,0
629,0
584,0
509,1
620,0
565,0
610,0
528,1
799,0
648,0
757,0
390,1
605,0
582,0
528,1
799,0
508,1
682,0
735,0
668,0
562,1
744,0
667,0
544,1
511,1
799,0
582,0
464,1
703,0
681,0
515,1
456,1
638,0
764,0
714,0
601,0
567,0
677,0
666,0
713,0
610,1
740,0
567,1
617,0
724,0
749,0
456,1
661,0
711,0
505,1
698,0
567,1
752,0
704,0
727,0
662,0
736,0
788,0
799,0
647,0
425,1
653,0
671,0
634,0
707,0
751,0
598,0
621,0
690,0
595,0
659,0
454,1
538,1
517,1
565,0
581,0
688,0
748,0
577,1
550,0
546,1
609,0
626,0
698,0
618,0
442,1
641,0
769,0
769,0
571,0
495,1
799,0
634,0
640,0
692,0
489,0
577,0
496,1
581,0
662,0
514,1
709,0
679,0
560,1
673,0
725,0
756,0
629,0
641,0
641,0
794,0
763,0
733,0
621,0
687,0
690,0
546,0
477,1
714,0
497,1
650,0
675,0
706,0
669,0
577,0
749,0
799,0
738,0
456,1
790,0
644,0
702,0
712,0
640,0
642,0
752,0
721,0
749,0
799,0
716,0
671,0
429,1
799,0
602,0
799,0
687,0
799,0
639,0
701,0
671,0
631,0
638,0
751,0
630,0
446,1
630,0
704,0
712,0
712,0
481,1
687,0
747,0
778,0
628,0
618,0
799,0
483,1
606,0
696,0
488,1
678,0
799,0
650,0
622,0
697,0
622,0
731,0
740,0
650,0
532,0
518,1
591,0
730,0
454,1
461,1
585,1
689,0
559,1
739,0
683,0
633,0
732,0
689,0
605,0
673,0
715,0
686,0
584,0
736,0
765,0
678,0
664,0
642,0
799,0
678,0
634,0
399,1
493,1
642,0
671,0
678,0
732,0
631,0
771,0
558,1
529,1
527,1
724,0
642,0
729,0
623,0
591,0
613,0
465,1
533,1
506,1
755,0
590,0
729,0
799,0
631,0
678,0
475,1
568,0
656,0
680,0
574,0
799,0
604,0
656,0
715,0
647,0
586,0
755,0
799,0
647,0
706,0
640,0
752,0
534,1
799,0
590,0
504,1
615,0
665,0
799,0
741,0
664,0
511,1
563,0
634,0
799,0
464,1
763,0
597,0
799,0
536,1
664,0
540,1
740,0
798,0
799,0
730,0
799,0
775,0
637,0
698,0
553,0
631,0
772,0
704,0
696,0
546,0
590,0
574,0
690,0
551,1
706,0
538,1
799,0
696,0
580,0
674,0
615,0
687,0
674,0
549,0
571,0
680,0
799,0
758,0
588,0
733,0
645,0
680,0
676,0
799,0
531,1
660,0
472,1
709,0
760,0
795,0
457,1
691,0
799,0
609,0
629,0
646,0
687,0
717,0
782,0
640,0
670,0
799,0
693,0
669,0
516,1
650,0
628,0
649,0
592,0
581,0
578,0
629,0
787,0
755,0
614,0
481,1
566,0
604,0
660,0
584,0
799,0
623,0
529,1
636,0
549,1
666,0
673,0
686,0
488,1
672,0
681,0
508,1
746,0
728,0
799,0
666,0
655,0
660,0
657,0
465,1
483,1
642,0
592,0
655,0
439,1
500,1
540,1
749,0
540,1
570,1
658,0
618,0
665,0
799,0
538,1
619,0
598,0
799,0
573,1
642,1
729,0
544,1
799,0
718,0
543,1
695,0
629,0
681,0
641,0
757,0
515,1
598,0
625,0
