"age","annual_income","credit_score","city","has_lyft","Y"
33,78.204,570,"Bellevue",0,1
56,104.398,533,"Bellevue",0,0
58,90.102,625,"Kirkland",1,1
44,43.742,649,"Kirkland",0,0
32,57.102,679,"Kirkland",0,0
70,22.176,586,"Redmond",0,0
26,25.646,551,"Bellevue",0,1
25,51.415,613,"Bellevue",1,0
51,70.263,614,"Redmond",1,0
43,39.616,554,"Kirkland",0,1
22,86.22,770,"Bellevue",1,1
63,50.389,566,"Kirkland",0,0
36,125.056,702,"Kirkland",0,1
30,40.419,583,"Kirkland",0,0
23,55.13,524,"Kirkland",1,0
22,77.381,727,"Kirkland",1,0
57,64.508,575,"Kirkland",0,0
41,31.651,591,"Bellevue",1,1
30,69.29,586,"Kirkland",0,1
43,95.555,613,"Redmond",0,1
67,70.737,578,"Redmond",0,1
63,54.056,600,"Kirkland",0,1
20,181.133,651,"Kirkland",0,1
48,25.251,564,"Bellevue",1,0
49,107.422,588,"Kirkland",1,1
24,68.626,673,"Redmond",0,1
55,64.275,674,"Bellevue",1,0
62,104.73,618,"Kirkland",0,0
28,93.718,678,"Kirkland",1,0
27,88.529,690,"Redmond",0,1
56,100.197,622,"Redmond",0,1
31,52.819,699,"Redmond",0,0
46,113.883,467,"Kirkland",1,0
56,57.917,624,"Bellevue",0,0
61,61.02,799,"Redmond",1,0
27,34.918,775,"Bellevue",1,0
63,89.131,644,"Redmond",1,1
68,80.122,634,"Redmond",0,1
52,24.215,539,"Bellevue",1,1
51,200.712,736,"Kirkland",0,1
54,49.071,733,"Kirkland",1,0
65,152.203,718,"Bellevue",0,1
36,59.685,493,"Redmond",0,1
51,90.199,606,"Kirkland",1,0
67,128.161,598,"Redmond",1,1
28,36.437,596,"Bellevue",1,0
56,92.206,714,"Bellevue",0,1
67,79.477,686,"Kirkland",0,0
64,38.853,632,"Redmond",0,1
47,123.76,634,"Bellevue",0,1
29,45.161,579,"Redmond",1,1
61,48.293,719,"Bellevue",0,0
29,37.843,712,"Kirkland",1,0
55,75.377,474,"Kirkland",1,1
25,64.766,604,"Bellevue",0,1
66,40.85,642,"Bellevue",1,0
49,63.749,605,"Redmond",0,0
41,57.111,528,"Redmond",1,0
59,77.166,644,"Redmond",0,0
58,85.584,758,"Bellevue",0,1
38,34.88,656,"Redmond",0,1
18,111.319,727,"Bellevue",0,1
35,65.478,799,"Redmond",1,0
31,73.701,768,"Redmond",1,1
48,133.571,799,"Bellevue",0,1
67,101.008,780,"Redmond",1,0
36,22.214,785,"Kirkland",0,1
65,103.332,587,"Kirkland",0,1
45,81.406,653,"Redmond",0,1
55,69.897,637,"Bellevue",0,1
59,116.638,751,"Bellevue",1,0
29,134.342,686,"Redmond",1,1
18,41.635,753,"Redmond",0,1
35,32.565,751,"Redmond",1,1
41,66.825,701,"Kirkland",0,0
68,52.775,654,"Kirkland",0,0
60,10.886,672,"Kirkland",1,0
69,112.348,722,"Bellevue",0,1
42,40.764,545,"Redmond",1,0
28,46.48,674,"Redmond",0,0
63,75.811,733,"Bellevue",0,1
36,22.031,684,"Bellevue",1,0
65,64.293,750,"Redmond",1,0
62,98.346,775,"Redmond",0,1
64,92.651,493,"Redmond",1,0
38,41.257,731,"Redmond",1,0
61,96.471,637,"Redmond",1,0
48,44.63,692,"Kirkland",0,1
41,39.936,798,"Redmond",1,0
57,42.517,724,"Kirkland",0,1
62,65.845,650,"Bellevue",0,0
21,78.389,618,"Kirkland",0,1
45,45.217,441,"Redmond",1,1
40,38.774,773,"Kirkland",1,0
29,48.777,532,"Bellevue",0,0
24,73.847,621,"Redmond",1,1
47,32.865,682,"Kirkland",0,0
58,53.217,568,"Bellevue",0,0
24,67.344,770,"Redmond",1,0
23,69.795,540,"Bellevue",0,0
63,76.759,656,"Bellevue",0,0
64,61.545,727,"Redmond",1,1
24,52.451,750,"Redmond",0,1
28,97.923,508,"Redmond",1,1
49,26.865,640,"Bellevue",0,1
57,61.015,799,"Kirkland",1,1
37,38.04,782,"Kirkland",0,0
63,85.931,558,"Redmond",1,1
22,30.986,586,"Redmond",1,1
42,61.361,556,"Bellevue",0,1
60,26.411,694,"Kirkland",1,0
19,30.325,799,"Kirkland",1,0
32,38.723,651,"Kirkland",1,0
52,29.714,649,"Redmond",1,0
41,52.599,744,"Redmond",0,1
61,60.614,710,"Bellevue",1,1
28,18.575,733,"Kirkland",1,0
35,93.57,700,"Bellevue",0,0
64,80.13,799,"Bellevue",0,1
45,32.114,729,"Redmond",0,1
51,93.229,485,"Kirkland",0,1
65,22.737,799,"Kirkland",0,0
38,48.974,734,"Bellevue",0,1
21,65.634,586,"Kirkland",0,0
36,77.989,626,"Kirkland",1,0
67,26.688,739,"Redmond",1,0
51,67.845,626,"Kirkland",0,0
40,49.783,563,"Kirkland",0,0
